population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year_start,year_end,val,upper,lower
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,0.03194991608110221,0.43053835848819066,-0.22929911058886188
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.06533082118237116,0.06328412554235896,-0.18597363530912103
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.16649299739723233,0.4956319325882588,-0.5564905253843879
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.17609841829300021,0.2330763731521189,-0.4891670319403198
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.2428886063133656,0.4945209143759048,-0.623767633067026
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.22878668976552788,0.1565906412842726,-0.48183445100133593
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.295082706636015,0.19832438904659988,-0.591719240894413
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.3462264735844773,0.057348379446688906,-0.6237276384406303
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.022824582907383466,1.442561433093518,-0.6350540121577131
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.15519604834157236,0.301609272328589,-0.4546564750210853
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.2641672293070286,-0.05439716732226341,-0.4065553740185515
1,All Population,1,Deaths,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.030005263467646492,0.17399526029184148,-0.16576744521509143
1,All Population,1,Deaths,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,444,Lip and oral cavity cancer,98,Tobacco,2,Percent,1990,2023,-0.09895120479828964,0.19566019309297333,-0.3367204775688058
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.06203880386525492,0.33424581139963777,-0.3886459250187752
1,All Population,1,Deaths,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,447,Nasopharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.14248010855874368,0.18595239321919138,-0.38731169911465374
1,All Population,1,Deaths,12,Lao People's Democratic Republic,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,-0.16084202784301826,0.3685403223343645,-0.4945325285477135
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.5523578871407931,-0.1635295708311142,-0.7476270243970065
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.07392769483084921,0.4864378543321227,-0.44611368669873547
1,All Population,1,Deaths,28,Solomon Islands,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.1089393400909777,0.21145257473850954,-0.36786673723911156
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.01247510962316021,0.7893481048124967,-0.45168633888815884
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.09286226508494064,0.41379855982200736,-0.43550673077493757
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.12616507400879481,0.02369223188421852,-0.2554752449615929
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.21362096654846663,-0.0458212102358597,-0.3623913874397662
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.10312853103824952,0.2278475902685515,-0.3528986733224712
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,417,Liver cancer,98,Tobacco,2,Percent,1990,2023,-0.07795575631707648,0.13860370027899294,-0.2695284900860268
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,429,Breast cancer,98,Tobacco,2,Percent,1990,2023,-0.07901837482567545,0.017443621908607855,-0.18508095178495523
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,432,Cervical cancer,98,Tobacco,2,Percent,1990,2023,-0.5955055830658615,-0.0773464487744342,-0.8236116033868677
1,All Population,1,Deaths,20,Viet Nam,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.12267791421429407,0.08334174147400328,-0.27901231226675055
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,411,Esophageal cancer,98,Tobacco,2,Percent,1990,2023,-0.21393409263594632,-0.04173363630908202,-0.3652126791840283
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,414,Stomach cancer,98,Tobacco,2,Percent,1990,2023,-0.37595370365031905,-0.15006650899515525,-0.5417435087838008
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,426,"Tracheal, bronchus, and lung cancer",98,Tobacco,2,Percent,1990,2023,-0.1689523643386381,-0.08010194427529721,-0.24199381670777337
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,423,Larynx cancer,98,Tobacco,2,Percent,1990,2023,-0.022025491083907067,0.17671010180863972,-0.19832744977607394
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.378543068209106,-0.21823238834210618,-0.5001466675863575
1,All Population,1,Deaths,18,Thailand,3,Both,27,Age-standardized,474,Bladder cancer,98,Tobacco,2,Percent,1990,2023,-0.3074803767470904,-0.17094714141971776,-0.41332377084735505
1,All Population,1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,0.007004282147352572,0.42727813081619875,-0.32519445301523564
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,450,Other pharynx cancer,98,Tobacco,2,Percent,1990,2023,-0.2257655274984928,0.0304402288776384,-0.4468410876736449
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,438,Prostate cancer,98,Tobacco,2,Percent,1990,2023,-0.3578105450786121,-0.11445215525418817,-0.5261111247718433
1,All Population,1,Deaths,47,Czechia,3,Both,27,Age-standardized,441,Colon and rectum cancer,98,Tobacco,2,Percent,1990,2023,-0.2160999320739386,0.03278843023910075,-0.4156381085613558
1,All Population,1,Deaths,43,Albania,3,Both,27,Age-standardized,487,Leukemia,98,Tobacco,2,Percent,1990,2023,0.052290383487884215,0.4946871157162432,-0.27670582251726034
1,All Population,1,Deaths,22,Fiji,3,Both,27,Age-standardized,456,Pancreatic cancer,98,Tobacco,2,Percent,1990,2023,-0.3311133707344188,0.006648819991937852,-0.5638647821891651
